mols dock_score ligand_efficiency
CHEMBL3728722.sdf -10.44 -0.29828571428571427
CHEMBL3728739.sdf -11.0 -0.3235294117647059
CHEMBL3728753.sdf -11.67 -0.35363636363636364
CHEMBL3728768.sdf -10.7 -0.3242424242424242
CHEMBL3728769.sdf -10.9 -0.3303030303030303
CHEMBL3728771.sdf -9.67 -0.31193548387096776
CHEMBL3728781.sdf -9.81 -0.26513513513513515
CHEMBL3728805.sdf -10.18 -0.3084848484848485
CHEMBL3728809.sdf -8.97 -0.23605263157894738
CHEMBL3728826.sdf -10.64 -0.36689655172413793
CHEMBL3728830.sdf -9.38 -0.268
CHEMBL3728843.sdf -9.6 -0.3
CHEMBL3728852.sdf -10.2 -0.35172413793103446
CHEMBL3728857.sdf -8.85 -0.2681818181818182
CHEMBL3728870.sdf -9.93 -0.2837142857142857
CHEMBL3728883.sdf -9.91 -0.29147058823529415
CHEMBL3728932.sdf -10.31 -0.3325806451612903
CHEMBL3728947.sdf -9.61 -0.3003125
CHEMBL3728965.sdf -9.62 -0.300625
CHEMBL3729012.sdf -11.22 -0.33
CHEMBL3729013.sdf -10.45 -0.34833333333333333
CHEMBL3729027.sdf -9.22 -0.2561111111111111
CHEMBL3729032.sdf -11.27 -0.33147058823529413
CHEMBL3729034.sdf -10.49 -0.3496666666666667
CHEMBL3729077.sdf -9.31 -0.3003225806451613
CHEMBL3729082.sdf -9.3 -0.26571428571428574
CHEMBL3729083.sdf -10.03 -0.34586206896551724
CHEMBL3729111.sdf -9.99 -0.2854285714285714
CHEMBL3729170.sdf -11.11 -0.33666666666666667
CHEMBL3729198.sdf -9.78 -0.34928571428571425
CHEMBL3729208.sdf -9.71 -0.26243243243243247
CHEMBL3729214.sdf -10.32 -0.3685714285714286
CHEMBL3729228.sdf -9.91 -0.3096875
CHEMBL3729231.sdf -9.4 -0.29375
CHEMBL3729242.sdf -9.9 -0.309375
CHEMBL3729246.sdf -10.08 -0.3054545454545455
CHEMBL3729273.sdf -11.48 -0.3376470588235294
CHEMBL3729293.sdf -9.84 -0.3075
CHEMBL3729299.sdf -9.95 -0.28428571428571425
CHEMBL3729306.sdf -11.01 -0.30583333333333335
CHEMBL3729342.sdf -9.28 -0.2577777777777778
CHEMBL3729343.sdf -11.11 -0.3583870967741935
CHEMBL3729352.sdf -10.17 -0.29911764705882354
CHEMBL3729434.sdf -10.6 -0.33125
CHEMBL3729460.sdf -11.37 -0.33441176470588235
CHEMBL3729471.sdf -11.72 -0.3255555555555556
CHEMBL3729487.sdf -10.83 -0.361
CHEMBL3729493.sdf -11.38 -0.3075675675675676
CHEMBL3729500.sdf -10.07 -0.3472413793103448
CHEMBL3729542.sdf -10.9 -0.340625
CHEMBL3729543.sdf -10.49 -0.37464285714285717
CHEMBL3729585.sdf -10.05 -0.28714285714285714
CHEMBL3729615.sdf -10.64 -0.3129411764705883
CHEMBL3729626.sdf -10.14 -0.338
CHEMBL3729633.sdf -11.13 -0.3273529411764706
CHEMBL3729642.sdf -10.11 -0.2808333333333333
CHEMBL3729697.sdf -9.94 -0.2761111111111111
CHEMBL3729699.sdf -9.67 -0.29303030303030303
CHEMBL3729706.sdf -10.01 -0.27054054054054055
CHEMBL3729722.sdf -9.59 -0.28205882352941175
CHEMBL3729738.sdf -8.55 -0.225
CHEMBL3729752.sdf -9.54 -0.3289655172413793
CHEMBL3729758.sdf -10.9 -0.3027777777777778
CHEMBL3729765.sdf -9.84 -0.3174193548387097
CHEMBL3729805.sdf -11.03 -0.2981081081081081
CHEMBL3729806.sdf -8.92 -0.28774193548387095
CHEMBL3729807.sdf -11.5 -0.32857142857142857
CHEMBL3729813.sdf -10.35 -0.3234375
CHEMBL3729822.sdf -10.98 -0.343125
CHEMBL3729866.sdf -10.13 -0.33766666666666667
CHEMBL3729885.sdf -9.52 -0.27999999999999997
CHEMBL3729916.sdf -10.62 -0.354
CHEMBL3729988.sdf -10.38 -0.35793103448275865
CHEMBL3730013.sdf -10.31 -0.3221875
CHEMBL3730024.sdf -10.9 -0.35161290322580646
CHEMBL3730033.sdf -11.36 -0.37866666666666665
CHEMBL3730056.sdf -9.89 -0.2908823529411765
CHEMBL3730081.sdf -10.06 -0.30484848484848487
CHEMBL3730082.sdf -10.08 -0.2964705882352941
CHEMBL3730133.sdf -10.94 -0.32176470588235295
CHEMBL3730156.sdf -9.37 -0.2532432432432432
CHEMBL3730159.sdf -10.66 -0.3135294117647059
CHEMBL3730197.sdf -9.5 -0.2638888888888889
CHEMBL3730203.sdf -8.76 -0.24333333333333332
CHEMBL3730211.sdf -10.7 -0.3242424242424242
CHEMBL3730215.sdf -10.11 -0.3744444444444444
CHEMBL3730217.sdf -10.17 -0.29911764705882354
CHEMBL3730231.sdf -9.74 -0.3141935483870968
CHEMBL3730234.sdf -10.47 -0.29914285714285715
CHEMBL3730257.sdf -11.16 -0.31
CHEMBL3730279.sdf -10.31 -0.35551724137931034
CHEMBL3730283.sdf -9.78 -0.305625
CHEMBL3730306.sdf -10.11 -0.27324324324324323
CHEMBL3730330.sdf -9.44 -0.2776470588235294
CHEMBL3730354.sdf -10.87 -0.3623333333333333
CHEMBL3730358.sdf -9.47 -0.286969696969697
CHEMBL3730378.sdf -10.68 -0.3141176470588235
CHEMBL3730424.sdf -9.44 -0.295
CHEMBL3730438.sdf -9.94 -0.32064516129032256
CHEMBL3730474.sdf -11.39 -0.3163888888888889
CHEMBL3730502.sdf -10.64 -0.36689655172413793
CHEMBL3730523.sdf -10.14 -0.26684210526315794
CHEMBL3730542.sdf -9.57 -0.25864864864864867
CHEMBL3730596.sdf -9.83 -0.28911764705882353
CHEMBL3730609.sdf -10.12 -0.37481481481481477
CHEMBL3730629.sdf -9.43 -0.28575757575757577
CHEMBL3730632.sdf -9.48 -0.27085714285714285
CHEMBL3730664.sdf -10.69 -0.31441176470588234
CHEMBL3730671.sdf -9.4 -0.28484848484848485
CHEMBL3730675.sdf -10.12 -0.2735135135135135
CHEMBL3730697.sdf -10.79 -0.32696969696969697
CHEMBL3730760.sdf -10.89 -0.32029411764705884
CHEMBL3730777.sdf -9.6 -0.3310344827586207
CHEMBL3730781.sdf -9.98 -0.28514285714285714
CHEMBL3730804.sdf -9.57 -0.26583333333333337
CHEMBL3730815.sdf -9.72 -0.30375
CHEMBL3730852.sdf -9.62 -0.3103225806451613
CHEMBL3730873.sdf -9.21 -0.2790909090909091
CHEMBL3730874.sdf -10.39 -0.3351612903225807
CHEMBL3730881.sdf -10.3 -0.30294117647058827
CHEMBL3730902.sdf -9.6 -0.2742857142857143
CHEMBL3730904.sdf -9.76 -0.28705882352941176
CHEMBL3730919.sdf -9.56 -0.27314285714285713
CHEMBL3730944.sdf -10.53 -0.36310344827586205
CHEMBL3730955.sdf -9.12 -0.2533333333333333
CHEMBL3730978.sdf -10.51 -0.3184848484848485
CHEMBL3730991.sdf -10.75 -0.3359375
CHEMBL3731035.sdf -10.11 -0.2808333333333333
CHEMBL3731064.sdf -10.11 -0.27324324324324323
CHEMBL3731092.sdf -10.05 -0.28714285714285714
CHEMBL3731113.sdf -11.84 -0.37
CHEMBL3731163.sdf -9.67 -0.29303030303030303
CHEMBL3731166.sdf -10.26 -0.29314285714285715
CHEMBL3731167.sdf -9.99 -0.2938235294117647
CHEMBL3731200.sdf -10.22 -0.32967741935483874
CHEMBL3731214.sdf -9.7 -0.3129032258064516
CHEMBL3731221.sdf -9.44 -0.2776470588235294
CHEMBL3731223.sdf -11.54 -0.3496969696969697
CHEMBL3731297.sdf -9.81 -0.3065625
CHEMBL3731308.sdf -10.5 -0.2916666666666667
CHEMBL3731311.sdf -10.37 -0.28027027027027024
CHEMBL3731316.sdf -11.04 -0.29837837837837833
CHEMBL3731359.sdf -11.15 -0.3013513513513514
CHEMBL3731379.sdf -9.35 -0.2671428571428571
CHEMBL3731384.sdf -10.08 -0.336
CHEMBL3731396.sdf -9.85 -0.35178571428571426
CHEMBL3731406.sdf -9.37 -0.3123333333333333
CHEMBL3731426.sdf -10.91 -0.32088235294117645
CHEMBL3731458.sdf -11.43 -0.3361764705882353
CHEMBL3731461.sdf -10.15 -0.35000000000000003
CHEMBL3731469.sdf -9.46 -0.3503703703703704
CHEMBL3731489.sdf -11.11 -0.3471875
CHEMBL3731492.sdf -9.82 -0.306875
CHEMBL3731544.sdf -9.72 -0.30375
CHEMBL3731561.sdf -10.95 -0.2881578947368421
CHEMBL3731599.sdf -9.98 -0.29352941176470587
CHEMBL3731600.sdf -10.39 -0.3351612903225807
CHEMBL3731632.sdf -10.45 -0.3370967741935484
CHEMBL3731671.sdf -11.39 -0.34515151515151515
CHEMBL3731680.sdf -9.72 -0.27
CHEMBL3731705.sdf -11.34 -0.324
CHEMBL3731739.sdf -10.68 -0.33375
CHEMBL3731817.sdf -9.9 -0.31935483870967746
CHEMBL3731849.sdf -10.08 -0.3251612903225806
CHEMBL3731870.sdf -11.03 -0.3558064516129032
CHEMBL3731889.sdf -11.09 -0.3261764705882353
CHEMBL3731893.sdf -10.02 -0.28628571428571425
CHEMBL3732008.sdf -10.55 -0.27763157894736845
CHEMBL3732009.sdf -10.14 -0.3072727272727273
CHEMBL3732039.sdf -8.84 -0.2326315789473684
CHEMBL3732041.sdf -9.91 -0.3417241379310345
CHEMBL3732049.sdf -9.61 -0.2826470588235294
CHEMBL3732051.sdf -10.09 -0.3153125
CHEMBL3732081.sdf -9.51 -0.2971875
CHEMBL3732086.sdf -9.6 -0.3
CHEMBL3732087.sdf -9.47 -0.2492105263157895
CHEMBL3732090.sdf -10.54 -0.31
CHEMBL3732149.sdf -11.38 -0.34484848484848485
CHEMBL3732159.sdf -10.66 -0.32303030303030306
CHEMBL3732166.sdf -10.66 -0.333125
CHEMBL3732192.sdf -10.17 -0.3178125
CHEMBL3732195.sdf -8.9 -0.26176470588235295
CHEMBL3732201.sdf -9.4 -0.33571428571428574
CHEMBL3732223.sdf -9.91 -0.3003030303030303
CHEMBL3732225.sdf -9.49 -0.2875757575757576
CHEMBL3732252.sdf -10.46 -0.2988571428571429
CHEMBL3732253.sdf -11.2 -0.35
CHEMBL3732345.sdf -9.12 -0.2533333333333333
CHEMBL3732365.sdf -10.9 -0.3205882352941177
CHEMBL3732371.sdf -10.99 -0.30527777777777776
CHEMBL3732392.sdf -9.66 -0.28411764705882353
CHEMBL3732403.sdf -10.68 -0.30514285714285716
CHEMBL3732404.sdf -10.54 -0.35133333333333333
CHEMBL3732416.sdf -9.61 -0.3003125
CHEMBL3732418.sdf -10.79 -0.35966666666666663
CHEMBL3732419.sdf -9.95 -0.33166666666666667
CHEMBL3732432.sdf -9.9 -0.3
CHEMBL3732493.sdf -9.2 -0.26285714285714284
CHEMBL3732502.sdf -10.83 -0.30942857142857144
CHEMBL3732504.sdf -11.14 -0.35935483870967744
CHEMBL3732516.sdf -10.58 -0.330625
CHEMBL3732539.sdf -10.97 -0.32264705882352945
CHEMBL3732566.sdf -10.98 -0.32294117647058823
CHEMBL3732583.sdf -10.35 -0.3136363636363636
CHEMBL3732601.sdf -10.33 -0.28694444444444445
CHEMBL3732602.sdf -10.31 -0.27131578947368423
CHEMBL3732612.sdf -10.85 -0.31
CHEMBL3732621.sdf -9.86 -0.33999999999999997
CHEMBL3732650.sdf -10.05 -0.3140625
CHEMBL3732748.sdf -10.41 -0.3589655172413793
CHEMBL3732803.sdf -11.8 -0.31891891891891894
CHEMBL3732842.sdf -10.2 -0.2914285714285714
CHEMBL3732870.sdf -10.42 -0.325625
CHEMBL3732885.sdf -9.45 -0.26999999999999996
CHEMBL3732895.sdf -9.25 -0.30833333333333335
CHEMBL3732902.sdf -10.81 -0.3179411764705882
CHEMBL3732930.sdf -9.65 -0.31129032258064515
CHEMBL3732960.sdf -9.83 -0.28085714285714286
CHEMBL3732978.sdf -10.91 -0.3117142857142857
CHEMBL3732990.sdf -9.54 -0.26499999999999996
CHEMBL3733012.sdf -10.36 -0.3453333333333333
CHEMBL3733039.sdf -12.49 -0.33756756756756756
CHEMBL3733047.sdf -9.54 -0.3289655172413793
CHEMBL3733084.sdf -10.28 -0.33161290322580644
CHEMBL3733127.sdf -9.47 -0.2785294117647059
CHEMBL3733163.sdf -8.84 -0.26
CHEMBL3733191.sdf -10.63 -0.3037142857142857
CHEMBL3733198.sdf -10.19 -0.29114285714285715
CHEMBL3733207.sdf -10.04 -0.2868571428571428
CHEMBL3733261.sdf -11.51 -0.32885714285714285
CHEMBL3733280.sdf -10.23 -0.33
CHEMBL3733305.sdf -9.86 -0.29878787878787877
CHEMBL3733330.sdf -9.22 -0.288125
CHEMBL3733340.sdf -9.74 -0.304375
CHEMBL377130.sdf -8.66 -0.3092857142857143
CHEMBL377163.sdf -8.52 -0.29379310344827586
CHEMBL377226.sdf -9.21 -0.30700000000000005
CHEMBL377969.sdf -8.85 -0.3277777777777778
CHEMBL378064.sdf -8.85 -0.2854838709677419
CHEMBL379761.sdf -8.88 -0.3062068965517242
CHEMBL379762.sdf -9.2 -0.27058823529411763
CHEMBL379853.sdf -8.9 -0.30689655172413793
CHEMBL380160.sdf -9.36 -0.32275862068965516
CHEMBL3906325.sdf -8.66 -0.23405405405405405
CHEMBL3915698.sdf -8.7 -0.2636363636363636
CHEMBL3932747.sdf -9.06 -0.2664705882352941
CHEMBL3935685.sdf -8.57 -0.24485714285714286
CHEMBL3959136.sdf -8.98 -0.280625
CHEMBL3981311.sdf -8.64 -0.26181818181818184
CHEMBL3983228.sdf -8.68 -0.263030303030303
CHEMBL400089.sdf -9.09 -0.27545454545454545
CHEMBL400723.sdf -8.67 -0.289
CHEMBL401313.sdf -8.84 -0.25257142857142856
CHEMBL401314.sdf -8.73 -0.29100000000000004
CHEMBL404003.sdf -9.45 -0.315
CHEMBL4159569.sdf -8.86 -0.22149999999999997
CHEMBL4161946.sdf -10.56 -0.264
CHEMBL4162303.sdf -9.92 -0.25435897435897437
CHEMBL4162930.sdf -9.78 -0.25076923076923074
CHEMBL4164673.sdf -10.14 -0.2740540540540541
CHEMBL4166385.sdf -9.81 -0.24525000000000002
CHEMBL4166447.sdf -10.16 -0.26051282051282054
CHEMBL4168567.sdf -10.25 -0.25625
CHEMBL4169807.sdf -9.14 -0.23435897435897438
CHEMBL4170201.sdf -8.96 -0.22400000000000003
CHEMBL4172556.sdf -10.1 -0.27297297297297296
CHEMBL4172968.sdf -10.37 -0.26589743589743586
CHEMBL4173297.sdf -10.73 -0.26170731707317074
CHEMBL4173645.sdf -10.06 -0.257948717948718
CHEMBL4176353.sdf -11.02 -0.29
CHEMBL4454321.sdf -9.26 -0.1304225352112676
CHEMBL4454594.sdf -8.71 -0.263939393939394
CHEMBL4455225.sdf -8.84 -0.25257142857142856
