Similarity;ChEMBL ID;Smiles
43,75;CHEMBL1904326;Cc1c(NC(=O)COc2ccc(C(C)C)cc2)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL2140787;Cc1c(NC(=O)C(C)Oc2ccc(Br)cc2)c(=O)n(-c2ccccc2)n1C
40,0000006;CHEMBL2296550;CC(C)c1c(CO)n(C)n(-c2ccccc2)c1=O
44,26229596;CHEMBL1332835;COC(=O)c1ccccc1NC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
54,38596606;CHEMBL212116;Cc1c(NC(=O)Nc2ccc(C#N)cc2)c(=O)n(-c2ccccc2)n1C
53,44827771;CHEMBL1429092;Cc1ccc(Cl)cc1NC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
60,00000238;CHEMBL386527;Cc1c(NC(=O)Nc2ccccc2)c(=O)n(-c2ccccc2)n1C
44,26229596;CHEMBL1423160;CC(=O)Nc1ccc(S(=O)(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1
41,79104567;CHEMBL4757792;Cn1cc(-c2nn(-c3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3)c(=O)c3ccccc23)cn1
43,54838729;CHEMBL1328927;Cc1c(NC(=O)Nc2ccccc2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C
41,42857194;CHEMBL1427141;Cc1c(NC(=O)C2CCCN2S(=O)(=O)c2ccc(Cl)cc2)c(=O)n(-c2ccccc2)n1C
41,66666567;CHEMBL1688036;Cc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1
40,0000006;CHEMBL1735968;Cc1c(NC(=O)C(C)N(c2ccccc2)S(C)(=O)=O)c(=O)n(-c2ccccc2)n1C
53,57142687;CHEMBL1339757;Cc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1C
42,62295067;CHEMBL85860;CC(C)(C)c1cc(NC(=O)Nc2ccc(Cl)cc2)n(-c2ccccc2)n1
40,7407403;CHEMBL4073727;O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2cccc(-c3ccccc3)c2)c1
44,61538494;CHEMBL1323065;Cc1c(NC(=O)c2cc(-c3ccc(Cl)cc3)on2)c(=O)n(-c2ccccc2)n1C
43,63636374;CHEMBL1379422;COC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
50;CHEMBL1701596;Cc1c(Cl)cccc1NC(=O)Nc1c(C)n(C)n(-c2ccccc2)c1=O
40,0000006;CHEMBL561640;CC(Oc1ccccc1)C(=O)Nc1ccc(Cl)cc1
44,44444478;CHEMBL1349789;Cc1c(NC(=O)CC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C
40,7407403;CHEMBL4100542;O=C(Nc1ccc(Cl)cc1)Nc1cccc(-c2ccc(-c3ccccc3)cc2)c1
50;CHEMBL1364920;COc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1OC
