ChEMBLID;Smiles;Standard_Value;pChEMBL_Value
CHEMBL550710;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(C(C)(C)C)cc3)c2=O)c1;;#NUM!
CHEMBL564194;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(C#N)cc3)c2=O)c1;;#NUM!
CHEMBL3731870;CC1(C(=O)NC[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1(Cl)Cl;870;7.060480747
CHEMBL3728947;CN(C)C(=O)CCC(=O)NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;800;7.096910013
CHEMBL3731223;O=C(Cc1ccccc1Cl)NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;610;7.214670165
CHEMBL3732051;CCC(CC)CNC(=O)[C@H]1[C@H](C(=O)NCCCCN2CCCC2)[C@H]2C=C[C@@H]1C21CC1;80900;5.092051478
CHEMBL3727528;CC(=O)CCCNC(=O)[C@H]1[C@H](C(=O)NCCCCN2CCCC2)[C@H]2C=C[C@@H]1C21CC1;7480;6.126098402
CHEMBL3732799;Cc1nc2ccc(NC(=O)[C@H]3[C@H](C(=O)NCCCCN4CCCC4)[C@H]4C=C[C@@H]3C43CC3)cc2s1;5700;6.244125144
CHEMBL3729208;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(OC(F)(F)F)cc2)[C@@H]2C=C[C@H]1C21CC1;2630;6.580044252
CHEMBL3727914;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ncc([N+](=O)[O-])s2)[C@@H]2C=C[C@H]1C21CC1;1200;6.920818754
CHEMBL3732371;O=C(N[C@H]1CC[C@H](CN2CCCC2)CC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;2080;6.681936665
CHEMBL3730217;O=C(NCCCCN1CCCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1;10.15490196
CHEMBL3729027;COc1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1F.O=CO;3890;6.410050399
CHEMBL3915698;Cc1cccc(-c2oc(C)nc2C(=O)Nc2cnn(Cc3nc(C4(O)CC4)co3)n2)c1;76;8.119186408
CHEMBL3984386;CC(C)(O)c1coc(Cn2ncc(NC(=O)c3ncoc3-c3ccccc3)n2)n1;80;8.096910013
CHEMBL3959136;CC(C)(O)c1coc(Cn2ncc(NC(=O)c3ncoc3-c3ccc(F)cc3)n2)n1;510;7.292429824
CHEMBL3588922;CCC[C@H]1CNC(=O)C(=O)N1C[C@@H]1CCCN1C[C@@H](Cc1ccc2ccccc2c1)N1C[C@@H](Cc2ccc(O)cc2)N(CC2CCCCC2)C(=O)C1=O;1400;6.853871964
CHEMBL3732252;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2cccc(Cl)c2F)[C@@H]2C=C[C@H]1C21CC1;47200;5.326058001
CHEMBL3733130;O=C(NCC1CCNCC1)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2CC[C@H]1C21CC1;73;8.13667714
CHEMBL3732094;O=C(NC1CCNCC1)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2CC[C@H]1C21CC1;240;7.619788758
CHEMBL3727924;NCC1CCN(C(=O)[C@H]2[C@H](C(=O)Nc3ncc(Br)s3)[C@@H]3C=C[C@H]2C32CC2)CC1;190;7.721246399
CHEMBL3728546;O=C(NC1CCNCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;230;7.638272164
CHEMBL3731889;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2F)[C@@H]2C=C[C@H]1C21CC1;13;8.886056648
CHEMBL3730330;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)nc2)[C@@H]2CC[C@H]1C21CC1;13;8.886056648
CHEMBL3728337;CC(=O)c1csc(CNC(=O)[C@H]2[C@H](C(=O)NCCCN3CCN(C)CC3)[C@H]3C=C[C@@H]2C32CC2)n1;4770;6.321481621
CHEMBL3731851;O=C(N[C@H]1CC[C@H](CO)CC1)[C@H]1[C@H](C(=O)Nc2ncc(Br)s2)[C@@H]2CC[C@H]1C21CC1;8550;6.068033885
CHEMBL450023;Cc1ccc(NC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)cc1;12600;5.899629455
CHEMBL556625;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(Cl)cc3)c2=O)c1;16000;5.795880017
CHEMBL551589;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;38000;5.420216403
CHEMBL551589;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)c1;21000;5.677780705
CHEMBL551590;COc1cccc(Cc2cc(C)nn(CCC(=O)Nc3ccc(Br)cc3)c2=O)c1;118000;4.928117993
CHEMBL562626;COc1cccc(Cc2cc(C)nn(CCNc3ccc(Br)cc3)c2=O)c1;;#NUM!
CHEMBL551391;COc1cccc(Cn2nc(C)cc(C(=O)Nc3ccc(Br)cc3)c2=O)c1;;#NUM!
CHEMBL562924;COc1cccc(Cc2cc(C)nn(CC(=O)Nc3ccc(OC(F)(F)F)cc3)c2=O)c1;;#NUM!
CHEMBL551660;COc1cccc(Cc2cc(C)nn(CC(=O)NCc3ccc(Br)cc3)c2=O)c1;;#NUM!
CHEMBL557102;COc1cccc(Cc2cc(C)nn(CC(=O)N3CCN(C)CC3)c2=O)c1;;#NUM!
CHEMBL562910;COc1ccc(NC(=O)Cn2nc(C)cc(Cc3cccc(OC)c3)c2=O)cc1;11000;5.958607315
CHEMBL4174852;O=C(Nc1ccc(F)cc1)N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCC1(c2ccccc2)CC1;;#NUM!
CHEMBL4162715;N#Cc1ccc(C[C@H](NC(=O)Nc2ccc(F)cc2)C(=O)NCC2(c3ccc(OC(F)(F)F)cc3)CC2)cc1;;#NUM!
CHEMBL3588871;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(OC)cn3)CCCCC2)cc1;1900;6.721246399
CHEMBL3733012;CCOCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;18;8.744727495
CHEMBL3588923;CCOC(=O)C1CCN(C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)Nc2ccc(Br)cc2)CC1;1300;6.886056648
CHEMBL1289381;COc1ccc(CCNC(=O)Nc2ccc(Br)cc2)cc1;1000;7
CHEMBL3729460;O=C(NCCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;7;9.180456064
CHEMBL3727840;CN(C)C(=O)CCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;34;8.468521083
CHEMBL3733163;NCCCCCNC(=O)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2F)[C@@H]2C=C[C@H]1C21CC1;550;7.259637311
CHEMBL3976318;Cc1cccc(-c2oc(C)nc2C(=O)Nc2cnn(Cc3nc(C(C)(C)O)co3)n2)c1;118;7.928117993
CHEMBL3590070;COc1ccc(NC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccccc3)CCCCC2)cc1;2600;6.585026652
CHEMBL3730523;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2cc(C(F)(F)F)ccc2Cl)[C@@H]2C=C[C@H]1C21CC1;99700;5.001304842
CHEMBL3729706;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2cccc(OC(F)F)c2)[C@@H]2C=C[C@H]1C21CC1;87000;5.060480747
CHEMBL3730955;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2cc(F)c(Br)c(F)c2)[C@@H]2C=C[C@H]1C21CC1;460;7.337242168
CHEMBL3729916;CNCCNC(=O)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;3500;6.455931956
CHEMBL3729082;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2F)[C@@H]2C=C[C@H]1C21CC1;130;7.886056648
CHEMBL3730255;CC(=O)c1csc(CNC(=O)[C@H]2[C@H](C(=O)NCCN3CCNC3=O)[C@H]3C=C[C@@H]2C32CC2)n1;820;7.086186148
CHEMBL3729012;NC[C@H]1CC[C@@H](NC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)CC1;1;9.886056648
CHEMBL2391276;COc1ccc(Cc2cc(Cc3ccccc3)nn(CC(=O)Nc3ccc(Br)cc3)c2=O)cc1;500000;4.301029996
CHEMBL3728237;COc1ccc(NC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cn1.Cl;6730;6.171984936
CHEMBL3728007;NC(=O)C1CCCCC1NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1000;7
CHEMBL3727620;CC(=O)c1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3CC[C@@H]2C32CC2)o1;210;7.677780705
CHEMBL3729225;CC(=O)c1ccc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)s1;2230;6.651695137
CHEMBL3727442;N#CCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;67;8.173925197
CHEMBL3730502;CNCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;28;8.552841969
CHEMBL3728769;O=C(NCCCCN1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1;10
CHEMBL3730283;CC(C)C[C@@H](CO)NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;210;7.677780705
CHEMBL3728852;CC(C)CCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;200;7.698970004
CHEMBL3727544;O=C(NCc1ccoc1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;130;7.886056648
CHEMBL3727798;O=C(NCCCn1cccn1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;71;8.148741651
CHEMBL3732803;O=C(NCCCc1nc2ccccc2[nH]1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;54;8.26760624
CHEMBL3732049;CCN(CC)CCCC(C)NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;39;8.408935393
CHEMBL3590075;COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC2(c3ccc(F)cc3)CCCCC2)cc1;;#NUM!
CHEMBL3731264;CC(=O)c1csc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)n1;1400;6.853871964
CHEMBL3728119;COc1c(F)cc(CNC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)cc1F.O=CO;1190;6.924453039
CHEMBL3732041;COCCC(=O)NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;720;7.142667504
CHEMBL3729471;O=C(NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1)c1cnoc1-c1ccccc1;370;7.431798276
CHEMBL3732432;Cc1ccc(NC(=O)[C@H]2[C@H](C(=O)NCCCCN3CCCC3)[C@H]3C=C[C@@H]2C32CC2)nc1;950;7.022276395
CHEMBL3732081;CN(C)CCCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2CC[C@H]1C21CC1;7;9.15490196
CHEMBL3731739;O=C(NCCCn1ccnc1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2CC[C@H]1C21CC1;41;8.387216143
CHEMBL3733039;Cc1onc(-c2ccccc2)c1CNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;8120;6.090443971
CHEMBL3728252;CC(C)(C)OC(=O)NCc1ccc(CNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)cc1;3910;6.407823243
CHEMBL3729032;CNC(=O)[C@H](NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1)C(C)(C)C;3730;6.428291168
CHEMBL3728553;NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;2230;6.651695137
CHEMBL3729626;CCCCCCN(C)C(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1330;6.876148359
CHEMBL3729543;CCCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;720;7.142667504
CHEMBL3730609;O=C(NC1CC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;630;7.200659451
CHEMBL3729807;O=C(Nc1ccnn1-c1ccccc1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;700;7.15490196
CHEMBL3727426;COCCN(CCOC)C(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;240;7.619788758
CHEMBL3730881;CCn1nc(CCNC(=O)[C@H]2[C@H](C(=O)Nc3ccc(Br)cc3)[C@@H]3C=C[C@H]2C32CC2)cc1C;240;7.619788758
CHEMBL3732253;O=C(NCCCn1ccnc1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;90;8.045757491
CHEMBL3729293;CCN(CC)CCN(CC)C(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;76;8.119186408
CHEMBL3730279;CCSCCNC(=O)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;37;8.431798276
CHEMBL3729500;O=C(NC1CCCC1)[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;13;8.886056648
CHEMBL3730671;O=C(NCCCN1CCCC1)[C@H]1[C@H](C(=O)NCc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;490;7.30980392
CHEMBL3730474;O=C(NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1)c1ccnn1-c1ccccc1;1120;6.950781977
CHEMBL3733047;CCCCC(=O)NC[C@H]1[C@H](C(=O)Nc2ccc(Br)cc2)[C@@H]2C=C[C@H]1C21CC1;1030;6.987162775
